Idx,Period H1,FMA H1,SLMA H1,550MA H1,DeltaC H1,Macd H1,Plot2 H1,Plot3 H1,Plot4 H1,Idx,Period M15,FMA M15,SLMA M15,550MA M15,DeltaC M15,Macd M15,Plot2 M15,Plot3 M15,Plot4 M15,Idx,Period M5,FMA M5,SLMA M5,550MA M5,DeltaC M5,Macd M5,Plot2 M5,Plot3 M5,Plot4 M5
286,2024.04.10 06:00:00,1.08560,1.08521,1.08060,Positive,0.000034,0.000972,0.000737,0.000998,286,2024.05.02 04:30:00,1.07060,1.06981,1.07007,Positive,0.000495,0.001329,0.000761,0.001023,286,2024.05.06 23:10:00,1.07700,1.07716,1.07321,Negative,-0.000171,-0.000183,-0.000005,0.000010
287,2024.04.10 05:00:00,1.08562,1.08521,1.08059,Positive,0.000071,0.000996,0.000742,0.001004,287,2024.05.02 04:15:00,1.07056,1.06975,1.07007,Positive,0.000543,0.001333,0.000755,0.001014,287,2024.05.06 23:05:00,1.07702,1.07718,1.07320,Negative,-0.000172,-0.000176,0.000000,0.000017
288,2024.04.10 04:00:00,1.08563,1.08520,1.08059,Positive,0.000107,0.001019,0.000747,0.001009,288,2024.05.02 04:00:00,1.07052,1.06969,1.07007,Positive,0.000614,0.001341,0.000750,0.001007,288,2024.05.06 23:00:00,1.07704,1.07720,1.07320,Negative,-0.000176,-0.000169,0.000005,0.000024
289,2024.04.10 03:00:00,1.08562,1.08518,1.08058,Positive,0.000122,0.001035,0.000749,0.001011,289,2024.05.02 03:45:00,1.07047,1.06962,1.07006,Positive,0.000666,0.001341,0.000742,0.000996,289,2024.05.06 22:55:00,1.07707,1.07722,1.07319,Negative,-0.000179,-0.000162,0.000010,0.000030
290,2024.04.10 02:00:00,1.08560,1.08515,1.08057,Positive,0.000125,0.001046,0.000749,0.001011,290,2024.05.02 03:30:00,1.07038,1.06954,1.07006,Positive,0.000679,0.001326,0.000730,0.000979,290,2024.05.06 22:50:00,1.07709,1.07724,1.07318,Negative,-0.000175,-0.000153,0.000015,0.000038
291,2024.04.10 01:00:00,1.08559,1.08512,1.08056,Positive,0.000132,0.001059,0.000750,0.001012,291,2024.05.02 03:15:00,1.07031,1.06947,1.07006,Positive,0.000721,0.001319,0.000719,0.000965,291,2024.05.06 22:45:00,1.07712,1.07726,1.07318,Negative,-0.000180,-0.000146,0.000020,0.000044
292,2024.04.10 00:00:00,1.08559,1.08511,1.08055,Positive,0.000155,0.001075,0.000752,0.001013,292,2024.05.02 03:00:00,1.07023,1.06938,1.07006,Positive,0.000756,0.001307,0.000708,0.000949,292,2024.05.06 22:40:00,1.07714,1.07728,1.07317,Negative,-0.000179,-0.000137,0.000026,0.000051
293,2024.04.09 23:00:00,1.08559,1.08508,1.08054,Positive,0.000185,0.001092,0.000754,0.001014,293,2024.05.02 02:45:00,1.07014,1.06929,1.07005,Positive,0.000790,0.001293,0.000695,0.000933,293,2024.05.06 22:35:00,1.07718,1.07731,1.07316,Negative,-0.000170,-0.000126,0.000032,0.000059
294,2024.04.09 22:00:00,1.08560,1.08508,1.08053,Positive,0.000218,0.001108,0.000755,0.001015,294,2024.05.02 02:30:00,1.07004,1.06919,1.07005,Positive,0.000805,0.001271,0.000681,0.000913,294,2024.05.06 22:30:00,1.07721,1.07734,1.07316,Negative,-0.000155,-0.000113,0.000038,0.000068
295,2024.04.09 21:00:00,1.08562,1.08507,1.08052,Positive,0.000294,0.001134,0.000759,0.001020,295,2024.05.02 02:15:00,1.06992,1.06909,1.07005,Positive,0.000802,0.001244,0.000664,0.000891,295,2024.05.06 22:25:00,1.07725,1.07736,1.07315,Negative,-0.000141,-0.000102,0.000044,0.000076
296,2024.04.09 20:00:00,1.08565,1.08506,1.08051,Positive,0.000402,0.001165,0.000764,0.001026,296,2024.05.02 02:00:00,1.06981,1.06899,1.07004,Positive,0.000807,0.001218,0.000649,0.000870,296,2024.05.06 22:20:00,1.07728,1.07739,1.07314,Negative,-0.000114,-0.000087,0.000051,0.000085
297,2024.04.09 19:00:00,1.08565,1.08503,1.08050,Positive,0.000503,0.001189,0.000767,0.001028,297,2024.05.02 01:45:00,1.06967,1.06888,1.07004,Positive,0.000776,0.001182,0.000630,0.000845,297,2024.05.06 22:15:00,1.07731,1.07741,1.07314,Negative,-0.000093,-0.000076,0.000057,0.000092
298,2024.04.09 18:00:00,1.08566,1.08501,1.08049,Positive,0.000613,0.001210,0.000768,0.001029,298,2024.05.02 01:30:00,1.06958,1.06879,1.07004,Positive,0.000805,0.001164,0.000617,0.000827,298,2024.05.06 22:10:00,1.07735,1.07743,1.07313,Negative,-0.000065,-0.000064,0.000063,0.000100
299,2024.04.09 17:00:00,1.08562,1.08494,1.08048,Positive,0.000729,0.001226,0.000768,0.001028,299,2024.05.02 01:15:00,1.06949,1.06870,1.07004,Positive,0.000846,0.001146,0.000604,0.000810,299,2024.05.06 22:05:00,1.07737,1.07745,1.07312,Negative,-0.000046,-0.000055,0.000067,0.000107
300,2024.04.09 16:00:00,1.08545,1.08481,1.08047,Positive,0.000647,0.001183,0.000749,0.001003,300,2024.05.02 01:00:00,1.06937,1.06860,1.07004,Positive,0.000854,0.001118,0.000588,0.000788,300,2024.05.06 22:00:00,1.07737,1.07745,1.07312,Negative,-0.000044,-0.000052,0.000071,0.000111
301,2024.04.09 15:00:00,1.08530,1.08471,1.08046,Positive,0.000514,0.001131,0.000728,0.000974,301,2024.05.02 00:45:00,1.06927,1.06852,1.07004,Positive,0.000849,0.001085,0.000571,0.000765,301,2024.05.06 21:55:00,1.07737,1.07745,1.07311,Negative,-0.000057,-0.000053,0.000072,0.000113
302,2024.04.09 14:00:00,1.08522,1.08463,1.08045,Positive,0.000533,0.001126,0.000721,0.000965,302,2024.05.02 00:30:00,1.06913,1.06840,1.07003,Positive,0.000856,0.001055,0.000555,0.000744,302,2024.05.06 21:50:00,1.07737,1.07746,1.07310,Negative,-0.000070,-0.000053,0.000074,0.000116
303,2024.04.09 13:00:00,1.08510,1.08454,1.08043,Positive,0.000471,0.001098,0.000708,0.000947,303,2024.05.02 00:15:00,1.06894,1.06826,1.07003,Positive,0.000765,0.000998,0.000530,0.000711,303,2024.05.06 21:45:00,1.07738,1.07747,1.07309,Negative,-0.000073,-0.000049,0.000078,0.000120
304,2024.04.09 12:00:00,1.08502,1.08447,1.08042,Positive,0.000426,0.001077,0.000697,0.000932,304,2024.05.02 00:00:00,1.06880,1.06817,1.07003,Positive,0.000674,0.000946,0.000508,0.000681,304,2024.05.06 21:40:00,1.07739,1.07748,1.07308,Negative,-0.000069,-0.000044,0.000081,0.000125
305,2024.04.09 11:00:00,1.08498,1.08443,1.08041,Positive,0.000438,0.001075,0.000692,0.000924,305,2024.05.01 23:45:00,1.06877,1.06813,1.07003,Positive,0.000755,0.000944,0.000501,0.000673,305,2024.05.06 21:35:00,1.07740,1.07749,1.07308,Negative,-0.000070,-0.000040,0.000085,0.000130
306,2024.04.09 10:00:00,1.08495,1.08439,1.08041,Positive,0.000491,0.001082,0.000689,0.000920,306,2024.05.01 23:30:00,1.06874,1.06807,1.07003,Positive,0.000891,0.000952,0.000498,0.000668,306,2024.05.06 21:30:00,1.07741,1.07750,1.07307,Negative,-0.000069,-0.000035,0.000088,0.000135
307,2024.04.09 09:00:00,1.08491,1.08433,1.08040,Positive,0.000563,0.001092,0.000688,0.000917,307,2024.05.01 23:15:00,1.06866,1.06799,1.07003,Positive,0.000968,0.000938,0.000487,0.000653,307,2024.05.06 21:25:00,1.07742,1.07750,1.07306,Negative,-0.000074,-0.000032,0.000091,0.000139
308,2024.04.09 08:00:00,1.08485,1.08427,1.08039,Positive,0.000588,0.001086,0.000681,0.000907,308,2024.05.01 23:00:00,1.06853,1.06788,1.07003,Positive,0.000974,0.000900,0.000470,0.000630,308,2024.05.06 21:20:00,1.07743,1.07751,1.07305,Negative,-0.000078,-0.000028,0.000095,0.000143
309,2024.04.09 07:00:00,1.08479,1.08422,1.08038,Positive,0.000626,0.001081,0.000674,0.000898,309,2024.05.01 22:45:00,1.06829,1.06771,1.07003,Positive,0.000857,0.000828,0.000442,0.000593,309,2024.05.06 21:15:00,1.07744,1.07752,1.07305,Negative,-0.000082,-0.000024,0.000098,0.000148
310,2024.04.09 06:00:00,1.08474,1.08416,1.08037,Positive,0.000677,0.001078,0.000669,0.000890,310,2024.05.01 22:30:00,1.06797,1.06751,1.07002,Positive,0.000574,0.000717,0.000402,0.000541,310,2024.05.06 21:10:00,1.07745,1.07753,1.07304,Negative,-0.000077,-0.000017,0.000102,0.000153
311,2024.04.09 05:00:00,1.08466,1.08409,1.08036,Positive,0.000716,0.001069,0.000661,0.000879,311,2024.05.01 22:15:00,1.06773,1.06739,1.07002,Positive,0.000247,0.000608,0.000364,0.000491,311,2024.05.06 21:05:00,1.07747,1.07755,1.07303,Negative,-0.000066,-0.000008,0.000107,0.000159
312,2024.04.09 04:00:00,1.08457,1.08401,1.08035,Positive,0.000727,0.001051,0.000650,0.000864,312,2024.05.01 22:00:00,1.06762,1.06733,1.07002,Positive,0.000105,0.000565,0.000348,0.000470,312,2024.05.06 21:00:00,1.07748,1.07755,1.07302,Negative,-0.000065,-0.000003,0.000111,0.000164
313,2024.04.09 03:00:00,1.08447,1.08392,1.08034,Positive,0.000742,0.001033,0.000639,0.000849,313,2024.05.01 21:45:00,1.06758,1.06729,1.07003,Positive,0.000062,0.000556,0.000342,0.000462,313,2024.05.06 20:55:00,1.07748,1.07756,1.07302,Negative,-0.000074,-0.000000,0.000113,0.000168
314,2024.04.09 02:00:00,1.08435,1.08383,1.08033,Positive,0.000715,0.001002,0.000625,0.000830,314,2024.05.01 21:30:00,1.06757,1.06727,1.07003,Positive,0.000087,0.000568,0.000343,0.000463,314,2024.05.06 20:50:00,1.07749,1.07757,1.07301,Negative,-0.000075,0.000005,0.000117,0.000173
315,2024.04.09 01:00:00,1.08423,1.08374,1.08032,Positive,0.000689,0.000974,0.000612,0.000812,315,2024.05.01 21:15:00,1.06754,1.06724,1.07004,Positive,0.000054,0.000562,0.000339,0.000457,315,2024.05.06 20:45:00,1.07751,1.07758,1.07300,Negative,-0.000070,0.000012,0.000121,0.000178
316,2024.04.09 00:00:00,1.08414,1.08368,1.08031,Positive,0.000665,0.000947,0.000599,0.000795,316,2024.05.01 21:00:00,1.06754,1.06723,1.07004,Positive,0.000061,0.000569,0.000338,0.000456,316,2024.05.06 20:40:00,1.07752,1.07759,1.07299,Negative,-0.000065,0.000019,0.000125,0.000184
317,2024.04.08 23:00:00,1.08402,1.08359,1.08030,Positive,0.000622,0.000916,0.000585,0.000776,317,2024.05.01 20:45:00,1.06756,1.06723,1.07004,Positive,0.000100,0.000585,0.000340,0.000458,317,2024.05.06 20:35:00,1.07752,1.07759,1.07298,Negative,-0.000079,0.000021,0.000128,0.000187
318,2024.04.08 22:00:00,1.08390,1.08350,1.08029,Positive,0.000577,0.000887,0.000572,0.000758,318,2024.05.01 20:30:00,1.06759,1.06723,1.07005,Positive,0.000165,0.000605,0.000343,0.000462,318,2024.05.06 20:30:00,1.07752,1.07760,1.07298,Negative,-0.000089,0.000025,0.000131,0.000191
319,2024.04.08 21:00:00,1.08376,1.08340,1.08028,Positive,0.000506,0.000853,0.000558,0.000739,319,2024.05.01 20:15:00,1.06760,1.06722,1.07005,Positive,0.000227,0.000620,0.000344,0.000463,319,2024.05.06 20:25:00,1.07753,1.07761,1.07297,Negative,-0.000086,0.000032,0.000135,0.000197
320,2024.04.08 20:00:00,1.08363,1.08332,1.08027,Positive,0.000401,0.000813,0.000542,0.000718,320,2024.05.01 20:00:00,1.06761,1.06721,1.07006,Positive,0.000282,0.000631,0.000344,0.000462,320,2024.05.06 20:20:00,1.07754,1.07762,1.07296,Negative,-0.000088,0.000039,0.000139,0.000202
321,2024.04.08 19:00:00,1.08353,1.08325,1.08026,Positive,0.000341,0.000792,0.000533,0.000704,321,2024.05.01 19:45:00,1.06762,1.06719,1.07006,Positive,0.000359,0.000645,0.000345,0.000462,321,2024.05.06 20:15:00,1.07755,1.07762,1.07295,Negative,-0.000100,0.000043,0.000142,0.000206
322,2024.04.08 18:00:00,1.08340,1.08316,1.08025,Positive,0.000232,0.000760,0.000520,0.000687,322,2024.05.01 19:30:00,1.06759,1.06716,1.07007,Positive,0.000401,0.000645,0.000341,0.000457,322,2024.05.06 20:10:00,1.07756,1.07763,1.07294,Negative,-0.000114,0.000048,0.000146,0.000210
323,2024.04.08 17:00:00,1.08328,1.08308,1.08024,Positive,0.000085,0.000723,0.000506,0.000668,323,2024.05.01 19:15:00,1.06754,1.06711,1.07007,Positive,0.000424,0.000638,0.000334,0.000448,323,2024.05.06 20:05:00,1.07756,1.07764,1.07293,Negative,-0.000129,0.000053,0.000149,0.000215
324,2024.04.08 16:00:00,1.08317,1.08302,1.08023,Positive,-0.000089,0.000687,0.000492,0.000650,324,2024.05.01 19:00:00,1.06751,1.06708,1.07007,Positive,0.000452,0.000630,0.000328,0.000440,324,2024.05.06 20:00:00,1.07757,1.07764,1.07293,Negative,-0.000145,0.000058,0.000153,0.000219
325,2024.04.08 15:00:00,1.08317,1.08303,1.08023,Positive,-0.000132,0.000695,0.000493,0.000650,325,2024.05.01 18:45:00,1.06747,1.06703,1.07008,Positive,0.000502,0.000627,0.000323,0.000433,325,2024.05.06 19:55:00,1.07757,1.07765,1.07292,Negative,-0.000170,0.000062,0.000156,0.000223
326,2024.04.08 14:00:00,1.08321,1.08304,1.08022,Positive,-0.000079,0.000732,0.000502,0.000661,326,2024.05.01 18:30:00,1.06741,1.06698,1.07008,Positive,0.000519,0.000613,0.000314,0.000421,326,2024.05.06 19:50:00,1.07759,1.07766,1.07291,Negative,-0.000182,0.000071,0.000160,0.000229
327,2024.04.08 13:00:00,1.08322,1.08304,1.08022,Positive,-0.000095,0.000747,0.000504,0.000663,327,2024.05.01 18:15:00,1.06734,1.06692,1.07008,Positive,0.000532,0.000596,0.000305,0.000409,327,2024.05.06 19:45:00,1.07761,1.07768,1.07290,Negative,-0.000190,0.000082,0.000165,0.000236
328,2024.04.08 12:00:00,1.08326,1.08306,1.08021,Positive,-0.000071,0.000774,0.000510,0.000670,328,2024.05.01 18:00:00,1.06726,1.06686,1.07009,Positive,0.000500,0.000566,0.000292,0.000391,328,2024.05.06 19:40:00,1.07763,1.07769,1.07289,Negative,-0.000197,0.000094,0.000171,0.000243
329,2024.04.08 11:00:00,1.08331,1.08307,1.08021,Positive,0.000007,0.000815,0.000520,0.000682,329,2024.05.01 17:45:00,1.06717,1.06679,1.07009,Positive,0.000477,0.000539,0.000280,0.000376,329,2024.05.06 19:35:00,1.07765,1.07771,1.07289,Negative,-0.000215,0.000104,0.000175,0.000249
330,2024.04.08 10:00:00,1.08331,1.08306,1.08020,Positive,0.000017,0.000834,0.000522,0.000684,330,2024.05.01 17:30:00,1.06710,1.06674,1.07009,Positive,0.000478,0.000521,0.000271,0.000363,330,2024.05.06 19:30:00,1.07768,1.07773,1.07288,Negative,-0.000218,0.000118,0.000181,0.000256
331,2024.04.08 09:00:00,1.08330,1.08305,1.08020,Positive,0.000011,0.000849,0.000523,0.000684,331,2024.05.01 17:15:00,1.06705,1.06669,1.07010,Positive,0.000503,0.000508,0.000263,0.000354,331,2024.05.06 19:25:00,1.07771,1.07775,1.07287,Negative,-0.000207,0.000137,0.000188,0.000266
332,2024.04.08 08:00:00,1.08329,1.08303,1.08019,Positive,-0.000002,0.000862,0.000523,0.000684,332,2024.05.01 17:00:00,1.06698,1.06663,1.07010,Positive,0.000509,0.000489,0.000254,0.000341,332,2024.05.06 19:20:00,1.07775,1.07777,1.07286,Negative,-0.000194,0.000156,0.000195,0.000275
333,2024.04.08 07:00:00,1.08329,1.08302,1.08019,Positive,0.000007,0.000882,0.000525,0.000686,333,2024.05.01 16:45:00,1.06688,1.06656,1.07011,Positive,0.000464,0.000456,0.000241,0.000324,333,2024.05.06 19:15:00,1.07779,1.07780,1.07285,Negative,-0.000170,0.000177,0.000203,0.000284
334,2024.04.08 06:00:00,1.08328,1.08299,1.08018,Positive,0.000004,0.000899,0.000526,0.000686,334,2024.05.01 16:30:00,1.06678,1.06649,1.07011,Positive,0.000400,0.000419,0.000227,0.000305,334,2024.05.06 19:10:00,1.07783,1.07782,1.07285,Negative,-0.000141,0.000198,0.000210,0.000294
335,2024.04.08 05:00:00,1.08323,1.08295,1.08017,Positive,-0.000074,0.000896,0.000520,0.000677,335,2024.05.01 16:15:00,1.06669,1.06643,1.07011,Positive,0.000347,0.000389,0.000215,0.000289,335,2024.05.06 19:05:00,1.07786,1.07784,1.07284,Negative,-0.000121,0.000217,0.000217,0.000302
336,2024.04.08 04:00:00,1.08322,1.08294,1.08017,Positive,-0.000118,0.000906,0.000518,0.000675,336,2024.05.01 16:00:00,1.06663,1.06638,1.07012,Positive,0.000326,0.000369,0.000206,0.000278,336,2024.05.06 19:00:00,1.07789,1.07785,1.07283,Negative,-0.000108,0.000232,0.000222,0.000309
337,2024.04.08 03:00:00,1.08326,1.08296,1.08016,Positive,-0.000088,0.000938,0.000523,0.000680,337,2024.05.01 15:45:00,1.06657,1.06634,1.07012,Positive,0.000308,0.000352,0.000199,0.000268,337,2024.05.06 18:55:00,1.07789,1.07785,1.07282,Negative,-0.000117,0.000240,0.000225,0.000312
338,2024.04.08 02:00:00,1.08328,1.08295,1.08016,Positive,-0.000076,0.000965,0.000526,0.000683,338,2024.05.01 15:30:00,1.06653,1.06631,1.07013,Positive,0.000309,0.000340,0.000193,0.000261,338,2024.05.06 18:50:00,1.07790,1.07785,1.07281,Negative,-0.000131,0.000248,0.000227,0.000316
339,2024.04.08 01:00:00,1.08330,1.08294,1.08015,Positive,-0.000038,0.000998,0.000531,0.000688,339,2024.05.01 15:15:00,1.06649,1.06627,1.07013,Positive,0.000315,0.000330,0.000188,0.000254,339,2024.05.06 18:45:00,1.07790,1.07785,1.07280,Negative,-0.000152,0.000255,0.000229,0.000319
340,2024.04.06 00:00:00,1.08327,1.08292,1.08015,Positive,-0.000085,0.001007,0.000527,0.000683,340,2024.05.01 15:00:00,1.06645,1.06624,1.07014,Positive,0.000319,0.000319,0.000183,0.000247,340,2024.05.06 18:40:00,1.07791,1.07786,1.07279,Negative,-0.000166,0.000265,0.000233,0.000323
341,2024.04.05 23:00:00,1.08325,1.08289,1.08014,Positive,-0.000136,0.001017,0.000524,0.000678,341,2024.05.01 14:45:00,1.06641,1.06621,1.07014,Positive,0.000324,0.000307,0.000177,0.000240,341,2024.05.06 18:35:00,1.07793,1.07787,1.07278,Negative,-0.000165,0.000279,0.000237,0.000328
342,2024.04.05 22:00:00,1.08324,1.08287,1.08013,Positive,-0.000191,0.001029,0.000521,0.000673,342,2024.05.01 14:30:00,1.06637,1.06618,1.07015,Positive,0.000339,0.000298,0.000173,0.000234,342,2024.05.06 18:30:00,1.07796,1.07787,1.07278,Negative,-0.000161,0.000295,0.000242,0.000334
343,2024.04.05 21:00:00,1.08322,1.08284,1.08013,Positive,-0.000252,0.001042,0.000518,0.000668,343,2024.05.01 14:15:00,1.06632,1.06614,1.07016,Positive,0.000325,0.000280,0.000166,0.000224,343,2024.05.06 18:25:00,1.07797,1.07788,1.07277,Positive,-0.000170,0.000307,0.000245,0.000338
344,2024.04.05 20:00:00,1.08321,1.08282,1.08012,Positive,-0.000307,0.001060,0.000517,0.000666,344,2024.05.01 14:00:00,1.06627,1.06611,1.07016,Positive,0.000321,0.000266,0.000160,0.000216,344,2024.05.06 18:20:00,1.07801,1.07790,1.07276,Positive,-0.000159,0.000325,0.000250,0.000345
345,2024.04.05 19:00:00,1.08317,1.08277,1.08011,Positive,-0.000399,0.001071,0.000513,0.000660,345,2024.05.01 13:45:00,1.06624,1.06608,1.07017,Positive,0.000334,0.000256,0.000155,0.000211,345,2024.05.06 18:15:00,1.07805,1.07792,1.07275,Positive,-0.000131,0.000347,0.000256,0.000353
346,2024.04.05 18:00:00,1.08315,1.08276,1.08011,Positive,-0.000558,0.001069,0.000505,0.000648,346,2024.05.01 13:30:00,1.06618,1.06604,1.07017,Positive,0.000323,0.000239,0.000149,0.000202,346,2024.05.06 18:10:00,1.07809,1.07794,1.07274,Positive,-0.000100,0.000369,0.000262,0.000360
347,2024.04.05 17:00:00,1.08326,1.08283,1.08011,Positive,-0.000534,0.001125,0.000514,0.000659,347,2024.05.01 13:15:00,1.06611,1.06599,1.07018,Positive,0.000280,0.000214,0.000140,0.000190,347,2024.05.06 18:05:00,1.07812,1.07795,1.07273,Positive,-0.000056,0.000392,0.000268,0.000368
348,2024.04.05 16:00:00,1.08348,1.08294,1.08011,Positive,-0.000317,0.001231,0.000539,0.000690,348,2024.05.01 13:00:00,1.06604,1.06595,1.07018,Positive,0.000240,0.000192,0.000132,0.000180,348,2024.05.06 18:00:00,1.07815,1.07796,1.07272,Positive,-0.000035,0.000407,0.000272,0.000372
349,2024.04.05 15:00:00,1.08361,1.08296,1.08010,Positive,-0.000117,0.001322,0.000557,0.000713,349,2024.05.01 12:45:00,1.06598,1.06591,1.07019,Positive,0.000202,0.000173,0.000126,0.000171,349,2024.05.06 17:55:00,1.07817,1.07796,1.07271,Positive,-0.000003,0.000424,0.000275,0.000377
350,2024.04.05 14:00:00,1.08362,1.08293,1.08010,Positive,-0.000122,0.001348,0.000555,0.000709,350,2024.05.01 12:30:00,1.06592,1.06587,1.07020,Positive,0.000144,0.000150,0.000118,0.000161,350,2024.05.06 17:50:00,1.07818,1.07796,1.07270,Positive,0.000021,0.000438,0.000278,0.000380
351,2024.04.05 13:00:00,1.08362,1.08290,1.08009,Positive,-0.000121,0.001376,0.000552,0.000704,351,2024.05.01 12:15:00,1.06587,1.06584,1.07020,Positive,0.000102,0.000134,0.000113,0.000155,351,2024.05.06 17:45:00,1.07820,1.07796,1.07269,Positive,0.000045,0.000450,0.000280,0.000382
352,2024.04.05 12:00:00,1.08361,1.08286,1.08008,Positive,-0.000162,0.001392,0.000545,0.000694,352,2024.05.01 12:00:00,1.06581,1.06581,1.07021,Positive,0.000038,0.000114,0.000107,0.000147,352,2024.05.06 17:40:00,1.07821,1.07796,1.07268,Positive,0.000067,0.000460,0.000281,0.000383
353,2024.04.05 11:00:00,1.08358,1.08281,1.08008,Positive,-0.000200,0.001411,0.000539,0.000685,353,2024.05.01 11:45:00,1.06578,1.06579,1.07022,Negative,-0.000014,0.000101,0.000103,0.000142,353,2024.05.06 17:35:00,1.07822,1.07795,1.07267,Positive,0.000096,0.000471,0.000282,0.000384
354,2024.04.05 10:00:00,1.08357,1.08278,1.08007,Positive,-0.000263,0.001425,0.000531,0.000674,354,2024.05.01 11:30:00,1.06576,1.06578,1.07022,Negative,-0.000049,0.000096,0.000101,0.000140,354,2024.05.06 17:30:00,1.07822,1.07794,1.07266,Positive,0.000124,0.000480,0.000282,0.000385
355,2024.04.05 09:00:00,1.08362,1.08278,1.08006,Positive,-0.000251,0.001462,0.000529,0.000671,355,2024.05.01 11:15:00,1.06574,1.06577,1.07023,Negative,-0.000085,0.000092,0.000100,0.000138,355,2024.05.06 17:25:00,1.07822,1.07793,1.07265,Positive,0.000152,0.000488,0.000282,0.000384
356,2024.04.05 08:00:00,1.08369,1.08279,1.08006,Positive,-0.000198,0.001509,0.000531,0.000671,356,2024.05.01 11:00:00,1.06573,1.06576,1.07024,Negative,-0.000118,0.000090,0.000100,0.000138,356,2024.05.06 17:20:00,1.07820,1.07791,1.07264,Positive,0.000169,0.000491,0.000280,0.000382
357,2024.04.05 07:00:00,1.08376,1.08279,1.08006,Positive,-0.000119,0.001561,0.000532,0.000673,357,2024.05.01 10:45:00,1.06573,1.06577,1.07025,Negative,-0.000158,0.000089,0.000100,0.000138,357,2024.05.06 17:15:00,1.07818,1.07789,1.07263,Positive,0.000168,0.000489,0.000277,0.000377
358,2024.04.05 06:00:00,1.08384,1.08280,1.08005,Positive,-0.000021,0.001613,0.000534,0.000673,358,2024.05.01 10:30:00,1.06576,1.06580,1.07026,Negative,-0.000133,0.000107,0.000106,0.000146,358,2024.05.06 17:10:00,1.07817,1.07787,1.07262,Positive,0.000189,0.000492,0.000275,0.000375
359,2024.04.05 05:00:00,1.08393,1.08281,1.08005,Positive,0.000120,0.001671,0.000536,0.000675,359,2024.05.01 10:15:00,1.06578,1.06580,1.07027,Negative,-0.000132,0.000118,0.000110,0.000150,359,2024.05.06 17:05:00,1.07815,1.07784,1.07261,Positive,0.000188,0.000488,0.000271,0.000369
360,2024.04.05 04:00:00,1.08399,1.08278,1.08004,Positive,0.000283,0.001728,0.000537,0.000675,360,2024.05.01 10:00:00,1.06579,1.06581,1.07027,Negative,-0.000154,0.000122,0.000111,0.000152,360,2024.05.06 17:00:00,1.07813,1.07782,1.07260,Positive,0.000206,0.000490,0.000269,0.000366
361,2024.04.05 03:00:00,1.08399,1.08274,1.08003,Positive,0.000336,0.001747,0.000525,0.000659,361,2024.05.01 09:45:00,1.06580,1.06582,1.07028,Negative,-0.000159,0.000132,0.000115,0.000156,361,2024.05.06 16:55:00,1.07811,1.07779,1.07259,Positive,0.000218,0.000488,0.000266,0.000361
362,2024.04.05 02:00:00,1.08401,1.08269,1.08003,Positive,0.000452,0.001778,0.000517,0.000647,362,2024.05.01 09:30:00,1.06582,1.06583,1.07029,Negative,-0.000162,0.000143,0.000118,0.000160,362,2024.05.06 16:50:00,1.07807,1.07776,1.07258,Positive,0.000215,0.000482,0.000261,0.000355
363,2024.04.05 01:00:00,1.08403,1.08265,1.08002,Positive,0.000597,0.001811,0.000508,0.000635,363,2024.05.01 09:15:00,1.06585,1.06584,1.07030,Negative,-0.000161,0.000156,0.000122,0.000165,363,2024.05.06 16:45:00,1.07804,1.07773,1.07257,Positive,0.000206,0.000474,0.000255,0.000347
364,2024.04.05 00:00:00,1.08408,1.08263,1.08001,Positive,0.000760,0.001841,0.000498,0.000621,364,2024.05.01 09:00:00,1.06587,1.06586,1.07031,Negative,-0.000151,0.000171,0.000126,0.000171,364,2024.05.06 16:40:00,1.07803,1.07771,1.07256,Positive,0.000226,0.000475,0.000252,0.000344
365,2024.04.04 23:00:00,1.08412,1.08259,1.08001,Positive,0.000968,0.001874,0.000489,0.000607,365,2024.05.01 08:45:00,1.06589,1.06587,1.07032,Negative,-0.000151,0.000183,0.000129,0.000175,365,2024.05.06 16:35:00,1.07801,1.07769,1.07255,Positive,0.000248,0.000474,0.000249,0.000339
366,2024.04.04 22:00:00,1.08414,1.08252,1.08000,Positive,0.001246,0.001915,0.000480,0.000595,366,2024.05.01 08:30:00,1.06592,1.06588,1.07033,Negative,-0.000148,0.000196,0.000133,0.000179,366,2024.05.06 16:30:00,1.07799,1.07767,1.07254,Positive,0.000267,0.000472,0.000246,0.000334
367,2024.04.04 21:00:00,1.08407,1.08241,1.07999,Positive,0.001416,0.001911,0.000458,0.000564,367,2024.05.01 08:15:00,1.06594,1.06589,1.07034,Negative,-0.000138,0.000211,0.000137,0.000184,367,2024.05.06 16:25:00,1.07797,1.07764,1.07253,Positive,0.000300,0.000472,0.000243,0.000330
368,2024.04.04 20:00:00,1.08393,1.08226,1.07998,Positive,0.001510,0.001876,0.000425,0.000521,368,2024.05.01 08:00:00,1.06597,1.06591,1.07034,Positive,-0.000128,0.000225,0.000140,0.000188,368,2024.05.06 16:20:00,1.07795,1.07761,1.07252,Positive,0.000331,0.000471,0.000239,0.000325
369,2024.04.04 19:00:00,1.08378,1.08209,1.07997,Positive,0.001622,0.001841,0.000392,0.000478,369,2024.05.01 07:45:00,1.06600,1.06592,1.07035,Positive,-0.000110,0.000241,0.000144,0.000193,369,2024.05.06 16:15:00,1.07792,1.07758,1.07251,Positive,0.000357,0.000465,0.000234,0.000319
